State,Type,Median_Price,Median_PSF,Transactions
Malaysia,Terrace House,453198.27,297.78,30867.0
Malaysia,Apartment,289710.28,344.45,3443.0
Malaysia,"Terrace House, Semi D",543031.0,302.1,3437.0
Malaysia,Condominium,686789.93,494.69,2810.0
Malaysia,Flat,156939.26,251.79,2463.0
Malaysia,Service Residence,764782.03,709.15,2252.0
Malaysia,"Terrace House, Cluster House",547290.37,320.71,2001.0
Malaysia,"Semi D, Terrace House",538622.97,265.15,1953.0
Malaysia,"Cluster House, Terrace House",544988.16,306.81,1588.0
Malaysia,Semi D,640625.72,253.96,851.0
Malaysia,"Bungalow, Terrace House",725848.51,325.64,705.0
Malaysia,Cluster House,610847.74,267.85,669.0
Malaysia,"Terrace House, Bungalow",701990.22,317.69,467.0
Malaysia,Bungalow,694325.17,164.72,302.0
Malaysia,"Bungalow, Semi D",1585960.0,388.07,286.0
Malaysia,"Terrace House, Town House",481689.21,376.26,278.0
Malaysia,"Cluster House, Semi D",941450.51,379.83,253.0
Malaysia,"Semi D, Bungalow",1169599.52,366.36,233.0
Malaysia,"Semi D, Cluster House",661871.62,243.36,148.0
Malaysia,"Terrace House, Semi D, Town House",589385.25,386.49,122.0
Malaysia,"Town House, Terrace House",580115.57,325.9,122.0
Malaysia,"Semi D, Terrace House, Bungalow",786153.85,349.0,117.0
Malaysia,Town House,385591.4,300.33,93.0
Malaysia,"Terrace House, Semi D, Bungalow",544076.92,232.75,91.0
Malaysia,"Semi D, Town House, Terrace House",419973.68,297.42,76.0
Malaysia,"Bungalow, Terrace House, Semi D",1110560.0,410.4,75.0
Malaysia,"Cluster House, Terrace House, Semi D",492346.67,321.89,75.0
Malaysia,"Town House, Terrace House, Semi D",499900.0,267.0,51.0
Malaysia,"Semi D, Terrace House, Cluster House",433680.0,279.0,33.0
Malaysia,"Terrace House, Bungalow, Semi D",999181.82,335.45,33.0
Malaysia,"Semi D, Cluster House, Bungalow",2330000.0,495.0,29.0
Malaysia,"Bungalow, Town House",627500.0,158.0,28.0
Malaysia,"Town House, Semi D",650000.0,422.0,28.0
Malaysia,"Flat, Apartment",202538.46,252.62,26.0
Malaysia,"Flat, Condominium",350000.0,301.0,19.0
Malaysia,"Town House, Bungalow, Terrace House",2550000.0,580.0,18.0
Malaysia,"Apartment, Flat",170000.0,259.0,18.0
Malaysia,"Semi D, Bungalow, Terrace House",1600000.0,569.0,17.0
Malaysia,"Town House, Semi D, Terrace House",1040000.0,537.0,16.0
Malaysia,"Town House, Bungalow",499500.0,346.0,16.0
Malaysia,"Condominium, Service Residence",84000.0,111.0,16.0
Malaysia,"Cluster House, Bungalow",240000.0,117.0,14.0
Malaysia,"Bungalow, Semi D, Terrace House",744000.0,257.0,12.0
Malaysia,"Semi D, Terrace House, Town House",350000.0,245.0,12.0
Malaysia,"Cluster House, Town House, Terrace House",205000.0,173.0,10.0
Malaysia,"Semi D, Town House",200000.0,136.0,10.0
