State,Median_Price,Median_PSF,Transactions,date,state,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate
Johor,525633.58,338.79,15520.0,2025-07-01,Johor,2206.3,2150.2,56.2,865.0,71.8,2.5
Selangor,621975.88,394.44,14146.0,2025-07-01,Selangor,4209.5,4132.0,77.5,1171.2,78.2,1.8
Perak,310872.08,199.47,5919.0,2025-07-01,Perak,1224.8,1179.5,45.3,585.4,67.7,3.7
Penang,452943.65,352.31,4147.0,2025-07-01,Penang,960.4,934.2,26.2,386.9,71.3,2.7
Negeri Sembilan,376166.73,244.33,3718.0,2025-07-01,Negeri Sembilan,585.1,567.8,17.3,283.2,67.4,3.0
Kuala Lumpur,893310.52,611.83,3359.0,2025-07-01,Kuala Lumpur,1259.8,1218.9,40.9,407.6,75.6,3.2
Melaka,291820.16,195.22,3177.0,2025-07-01,Melaka,534.6,521.6,13.0,237.5,69.2,2.4
Kedah,279315.27,180.95,2641.0,2025-07-01,Kedah,1002.7,978.2,24.5,514.4,66.1,2.4
Pahang,298472.13,195.6,1386.0,2025-07-01,Pahang,788.8,775.0,13.8,406.3,66.0,1.7
Sarawak,354668.65,210.51,965.0,2025-07-01,Sarawak,1258.3,1219.7,38.6,552.2,69.5,3.1
Sabah,313044.44,289.33,720.0,2025-07-01,Sabah,1950.2,1839.9,110.3,817.9,70.5,5.7
Terengganu,273960.87,129.08,345.0,2025-07-01,Terengganu,507.6,493.0,14.6,326.7,60.8,2.9
Putrajaya,865000.0,477.0,48.0,2025-07-01,Putrajaya,62.2,61.3,0.9,17.7,77.8,1.4
Kelantan,386842.11,188.89,38.0,2025-07-01,Kelantan,752.1,717.8,34.4,506.2,59.8,4.6
Perlis,414428.0,205.0,29.0,2025-07-01,Perlis,137.4,133.0,4.4,80.5,63.0,3.2
Labuan,130000.0,169.0,25.0,2025-07-01,Labuan,46.6,44.4,2.2,23.7,66.3,4.7
