State,Type,Tenure,Median_Price,Median_PSF,Transactions
Johor,Terrace House,Freehold,510901.63,329.97,6908.0
Selangor,Terrace House,Freehold,678256.84,425.86,5046.0
Perak,Terrace House,Leasehold,274504.47,195.87,2488.0
Negeri Sembilan,Terrace House,Freehold,400901.02,269.76,2316.0
Selangor,Terrace House,Leasehold,524733.93,351.02,2223.0
Kedah,Terrace House,Freehold,260543.0,187.28,1614.0
Perak,Terrace House,Freehold,319824.49,204.26,1549.0
Penang,Terrace House,Freehold,488559.02,343.09,1509.0
Melaka,Terrace House,Freehold,265185.66,209.22,1360.0
Johor,"Terrace House, Cluster House",Freehold,629924.19,372.73,1192.0
Johor,"Terrace House, Semi D",Freehold,608015.6,325.32,1118.0
Johor,Terrace House,Leasehold,336920.61,237.13,917.0
Johor,"Cluster House, Terrace House",Freehold,636511.09,344.75,902.0
Kuala Lumpur,Condominium,Freehold,1040985.47,610.95,839.0
Melaka,Terrace House,Leasehold,230511.19,159.84,822.0
Johor,Service Residence,Freehold,632255.77,609.01,821.0
Selangor,Apartment,Freehold,311475.5,344.56,755.0
Pahang,Terrace House,Leasehold,328661.01,215.56,626.0
Selangor,"Terrace House, Semi D",Freehold,740004.82,435.11,623.0
Negeri Sembilan,Terrace House,Leasehold,351929.41,227.05,604.0
Kuala Lumpur,Service Residence,Freehold,1345457.98,1130.78,575.0
Pahang,Terrace House,Freehold,277341.96,187.61,489.0
Penang,Flat,Freehold,164277.43,265.62,483.0
Sarawak,Terrace House,Leasehold,330169.72,192.29,465.0
Selangor,Condominium,Freehold,560754.82,436.56,452.0
Selangor,"Semi D, Terrace House",Freehold,643566.0,308.66,447.0
Johor,Apartment,Freehold,348193.62,340.32,439.0
Selangor,Service Residence,Freehold,480089.2,531.94,435.0
Johor,Flat,Freehold,148364.9,248.61,433.0
Selangor,Apartment,Leasehold,302050.81,363.7,433.0
Perak,"Terrace House, Cluster House",Leasehold,252084.29,145.78,411.0
Penang,Condominium,Freehold,675048.57,570.18,408.0
Johor,"Semi D, Terrace House",Freehold,707748.41,318.35,402.0
Penang,Apartment,Freehold,260620.87,381.52,393.0
Kuala Lumpur,Condominium,Leasehold,486622.07,414.17,376.0
Johor,Apartment,Leasehold,314509.94,342.26,352.0
Selangor,Flat,Leasehold,163882.23,242.77,349.0
Kuala Lumpur,Terrace House,Freehold,919589.08,586.12,348.0
Selangor,Condominium,Leasehold,473813.06,417.07,337.0
Kedah,"Terrace House, Semi D",Freehold,247077.2,156.45,330.0
Sabah,Apartment,Leasehold,228529.41,316.35,289.0
Penang,Flat,Leasehold,158585.19,280.51,270.0
Johor,Cluster House,Freehold,534120.0,213.15,255.0
Selangor,"Terrace House, Cluster House",Freehold,760589.6,388.0,250.0
Penang,"Terrace House, Semi D",Freehold,555853.12,291.56,247.0
Kedah,"Semi D, Terrace House",Freehold,303153.33,172.75,243.0
Perak,"Terrace House, Semi D",Freehold,442749.37,220.78,237.0
Selangor,"Bungalow, Terrace House",Freehold,540553.19,301.42,235.0
Kuala Lumpur,Flat,Leasehold,200964.91,323.14,228.0
Sabah,Terrace House,Leasehold,366210.05,234.31,219.0
Johor,"Cluster House, Semi D",Freehold,993685.05,408.17,218.0
Selangor,Flat,Freehold,152451.83,219.42,218.0
Perak,Terrace House,"Freehold, Leasehold",340043.98,232.7,216.0
Kedah,Semi D,Freehold,401791.16,169.18,206.0
Selangor,Service Residence,Leasehold,322050.51,457.01,198.0
Johor,Condominium,Freehold,582938.14,416.39,194.0
Melaka,"Terrace House, Semi D",Freehold,296544.5,189.06,191.0
Kuala Lumpur,Terrace House,Leasehold,821204.19,467.24,191.0
Perak,"Terrace House, Semi D",Leasehold,351326.67,228.22,180.0
Kuala Lumpur,Apartment,Leasehold,292641.18,375.25,170.0
Johor,Flat,Leasehold,141560.51,239.78,157.0
Johor,"Bungalow, Terrace House",Freehold,373865.38,240.1,156.0
Johor,"Cluster House, Terrace House","Freehold, Leasehold",553200.0,297.0,155.0
Selangor,"Semi D, Terrace House",Leasehold,623008.63,334.24,153.0
Perak,"Cluster House, Terrace House",Freehold,248770.47,141.74,149.0
