Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
Kipark Apartment,Tampoi,Johor,Leasehold,Apartment,380000.0,443.0,35.0
Lake View Suites,Tebrau,Johor,Freehold,Apartment,293000.0,359.0,34.0
Villa Krystal Apartment,Skudai,Johor,Freehold,Apartment,300000.0,336.0,34.0
The Seed,Skudai,Johor,Freehold,Apartment,650000.0,516.0,33.0
Sri Akasia,Tampoi,Johor,Leasehold,Apartment,380000.0,357.0,32.0
Nusa Heights (Nusa Puncak),Iskandar Puteri (Nusajaya),Johor,Freehold,Apartment,415000.0,451.0,28.0
Pangsapuri Persiaran Tanjung,Tampoi,Johor,Leasehold,Apartment,285000.0,297.0,28.0
Seri Baiduri,Ulu Tiram,Johor,Freehold,Apartment,35000.0,50.0,28.0
Sri Impian Apartment,Johor Bahru,Johor,Leasehold,Apartment,280000.0,292.0,23.0
Prima Regency,Johor Bahru,Johor,Freehold,Apartment,351500.0,332.0,22.0
Danga View Apartment,Tampoi,Johor,Freehold,Apartment,420000.0,340.0,22.0
Bayu Puteri 2,Johor Bahru,Johor,Leasehold,Apartment,310000.0,343.0,21.0
TAMAN SRI LAMBAK,Simpang Rengam,Johor,Leasehold,Bungalow,335000.0,95.0,32.0
TAMAN PONTIAN PERDANA,Pontian,Johor,Freehold,Bungalow,541600.0,150.0,22.0
SENIBONG VILLAS,Masai,Johor,Freehold,Bungalow,2125000.0,456.0,14.0
TAMAN SRI UNAS 2,Muar,Johor,Freehold,"Bungalow, Semi D",394000.0,155.0,17.0
MAJIDEE PARK,Johor Bahru,Johor,Freehold,"Bungalow, Semi D",935000.0,189.0,14.0
TAMAN ISKANDAR,Johor Bahru,Johor,Freehold,"Bungalow, Semi D, Terrace House",744000.0,257.0,12.0
TANJUNG PUTERI RESORT,Pasir Gudang,Johor,Freehold,"Bungalow, Terrace House",397800.0,258.0,135.0
BANDAR SEGAMAT BARU,Segamat,Johor,Freehold,"Bungalow, Terrace House",220000.0,125.0,21.0
TAMAN DELIMA,Kluang,Johor,Freehold,"Bungalow, Terrace House, Semi D",360000.0,153.0,12.0
TAMAN BUKIT PERDANA,Kluang,Johor,Freehold,Cluster House,343400.0,140.0,181.0
TAMAN GAYA,Ulu Tiram,Johor,Freehold,Cluster House,1034400.0,409.0,38.0
TAMAN DAIMAN JAYA,Kota Tinggi,Johor,Freehold,Cluster House,776900.0,320.0,20.0
TAMAN MUTIARA MAS,Skudai,Johor,Leasehold,Cluster House,959000.0,420.0,16.0
TAMAN AUSTIN HEIGHTS,Tebrau,Johor,Freehold,Cluster House,1200000.0,442.0,16.0
TAMAN BUKIT SKUDAI @ D CARLTON HEIGHTS,Skudai,Johor,"Leasehold, Freehold",Cluster House,1050000.0,415.0,15.0
TAMAN MUTIARA BESTARI,Skudai,Johor,Freehold,"Cluster House, Semi D",1114310.0,483.0,114.0
BANDAR CEMERLANG,Tebrau,Johor,Freehold,"Cluster House, Semi D",828000.0,345.0,69.0
TAMAN AKASIA (ACACIA HEIGHTS),Kluang,Johor,Freehold,"Cluster House, Semi D",610500.0,208.0,20.0
NUSA DUTA,Skudai,Johor,Freehold,"Cluster House, Semi D",1350000.0,397.0,15.0
BANDAR PUTRA,Kulai,Johor,Freehold,"Cluster House, Terrace House",590900.0,322.0,519.0
TAMAN DAYA,Tebrau,Johor,Freehold,"Cluster House, Terrace House",504000.0,331.0,172.0
BANDAR BARU KANGKAR PULAI,Kulai,Johor,"Freehold, Leasehold","Cluster House, Terrace House",553200.0,297.0,155.0
SETIA TROPIKA,Tampoi,Johor,Freehold,"Cluster House, Terrace House",911890.0,435.0,110.0
TAMAN SUTERA UTAMA,Skudai,Johor,Freehold,"Cluster House, Terrace House",1065000.0,474.0,36.0
TAMAN KEMPAS INDAH,Tebrau,Johor,Freehold,"Cluster House, Terrace House",644000.0,333.0,30.0
TAMAN NUSANTARA PRIMA,Gelang Patah,Johor,Freehold,"Cluster House, Terrace House",675000.0,337.0,24.0
BANDAR BARU KANGKAR PULAI,Skudai,Johor,Leasehold,"Cluster House, Terrace House",498000.0,239.0,15.0
TAMAN PULAI FLORA,Skudai,Johor,Freehold,"Cluster House, Terrace House",600000.0,357.0,11.0
Medini Signature,Iskandar Puteri (Nusajaya),Johor,Freehold,Condominium,814800.0,505.0,50.0
Straits View Condominium,Permas Jaya,Johor,Freehold,Condominium,495000.0,304.0,21.0
M Condominium @ Larkin,Johor Bahru,Johor,Leasehold,Condominium,485000.0,439.0,20.0
The WaterEdge (Pinggiran Air),Permas Jaya,Johor,Freehold,Condominium,640000.0,555.0,17.0
Selesa Puteri Condominium,Skudai,Johor,Freehold,Condominium,271000.0,268.0,14.0
1Medini,Iskandar Puteri (Nusajaya),Johor,Freehold,Condominium,370000.0,366.0,14.0
