date,state,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate
2025-01-01,Johor,2174.3,2124.5,49.9,856.7,71.7,2.3
2025-04-01,Johor,2182.7,2129.5,53.1,857.8,71.8,2.4
2025-07-01,Johor,2206.3,2150.2,56.2,865.0,71.8,2.5
2025-01-01,Kedah,1003.3,978.2,25.1,510.3,66.3,2.5
2025-04-01,Kedah,1010.9,985.3,25.6,508.4,66.5,2.5
2025-07-01,Kedah,1002.7,978.2,24.5,514.4,66.1,2.4
2025-01-01,Kelantan,738.7,707.8,30.8,503.0,59.5,4.2
2025-04-01,Kelantan,748.2,715.3,32.9,505.4,59.7,4.4
2025-07-01,Kelantan,752.1,717.8,34.4,506.2,59.8,4.6
2025-01-01,Melaka,524.5,514.6,9.9,234.5,69.1,1.9
2025-04-01,Melaka,530.9,519.5,11.4,235.7,69.3,2.2
2025-07-01,Melaka,534.6,521.6,13.0,237.5,69.2,2.4
2025-01-01,Negeri Sembilan,577.9,561.6,16.3,283.1,67.1,2.8
2025-04-01,Negeri Sembilan,583.0,566.3,16.7,282.8,67.3,2.9
2025-07-01,Negeri Sembilan,585.1,567.8,17.3,283.2,67.4,3.0
2025-01-01,Pahang,778.5,763.4,15.2,400.1,66.1,1.9
2025-04-01,Pahang,783.6,769.6,14.0,402.7,66.1,1.8
2025-07-01,Pahang,788.8,775.0,13.8,406.3,66.0,1.7
2025-01-01,Penang,947.3,923.2,24.1,385.2,71.1,2.5
2025-04-01,Penang,955.2,931.0,24.2,385.7,71.2,2.5
2025-07-01,Penang,960.4,934.2,26.2,386.9,71.3,2.7
2025-01-01,Perak,1206.9,1168.7,38.2,585.8,67.3,3.2
2025-04-01,Perak,1212.1,1170.6,41.5,586.3,67.4,3.4
2025-07-01,Perak,1224.8,1179.5,45.3,585.4,67.7,3.7
2025-01-01,Perlis,137.6,133.0,4.5,79.8,63.3,3.3
2025-04-01,Perlis,138.3,133.7,4.6,80.0,63.4,3.3
2025-07-01,Perlis,137.4,133.0,4.4,80.5,63.0,3.2
2025-01-01,Selangor,4151.6,4061.1,90.4,1174.9,77.9,2.2
2025-04-01,Selangor,4182.5,4101.4,81.1,1182.2,78.0,1.9
2025-07-01,Selangor,4209.5,4132.0,77.5,1171.2,78.2,1.8
2025-01-01,Terengganu,498.2,483.7,14.6,326.8,60.4,2.9
2025-04-01,Terengganu,504.5,490.6,14.0,324.3,60.9,2.8
2025-07-01,Terengganu,507.6,493.0,14.6,326.7,60.8,2.9
2025-01-01,Sabah,1902.4,1775.8,126.6,799.1,70.4,6.7
2025-04-01,Sabah,1933.4,1813.1,120.3,814.0,70.4,6.2
2025-07-01,Sabah,1950.2,1839.9,110.3,817.9,70.5,5.7
2025-01-01,Sarawak,1254.3,1210.5,43.8,545.7,69.7,3.5
2025-04-01,Sarawak,1260.3,1218.4,41.8,547.4,69.7,3.3
2025-07-01,Sarawak,1258.3,1219.7,38.6,552.2,69.5,3.1
2025-01-01,Kuala Lumpur,1225.9,1192.4,33.4,399.7,75.4,2.7
2025-04-01,Kuala Lumpur,1235.0,1198.5,36.5,400.2,75.5,3.0
2025-07-01,Kuala Lumpur,1259.8,1218.9,40.9,407.6,75.6,3.2
2025-01-01,Labuan,46.7,44.4,2.3,23.8,66.3,5.0
2025-04-01,Labuan,47.6,45.3,2.3,24.2,66.2,4.7
2025-07-01,Labuan,46.6,44.4,2.2,23.7,66.3,4.7
2025-01-01,Putrajaya,61.2,60.1,1.1,17.6,77.6,1.8
2025-04-01,Putrajaya,61.8,60.9,0.9,17.9,77.6,1.4
2025-07-01,Putrajaya,62.2,61.3,0.9,17.7,77.8,1.4
